match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","Hagley Oval","Christchurch","New Zealand","bat","New Zealand","Bangladesh","50","6","341","7","17","33","50.3","264","10","26","30","47.5","2016/17","TWM Latham","New Zealand"
"ODI","Saxton Oval","Nelson","Bangladesh","field","New Zealand","Bangladesh","50","6","251","10","12","29","50.4","184","10","16","20","44.3","2016/17","NT Broom","New Zealand"
"ODI","Saxton Oval","Nelson","Bangladesh","bat","New Zealand","Bangladesh","50","6","236","9","17","21","51.3","239","3","9","29","42.2","2016/17","KS Williamson","New Zealand"
"T20","McLean Park","Napier","Bangladesh","bat","New Zealand","Bangladesh","20","6","141","8","18","12","22.2","143","4","3","15","18.2","2016/17","KS Williamson","New Zealand"
"T20","Bay Oval","Mount Maunganui","Bangladesh","field","New Zealand","Bangladesh","20","6","195","7","8","23","20.4","148","10","15","14","19.3","2016/17","C Munro","New Zealand"
"T20","Bay Oval","Mount Maunganui","Bangladesh","field","New Zealand","Bangladesh","20","6","194","4","16","23","20.2","167","6","4","22","20.3","2016/17","CJ Anderson","New Zealand"
"Test","Basin Reserve","Wellington","New Zealand","field","New Zealand","Bangladesh","undefined","6","595","8","9","89","152.1","539","10","30","62","149.1","2016/17","TWM Latham","New Zealand"
"Test","Hagley Oval","Christchurch","New Zealand","field","New Zealand","Bangladesh","undefined","6","289","10","12","37","84.5","354","10","13","46","93.5","2016/17","TG Southee","New Zealand"
"ODI","Kennington Oval","London","England","field","England","Bangladesh","50","6","305","6","9","36","51.1","308","2","4","35","47.4","2017","JE Root","England"
"ODI","Kennington Oval","London","Bangladesh","bat","Australia","Bangladesh","50","6","182","10","9","13","45","83","1","2","7","16.1","2017","","no result"
"ODI","Sophia Gardens","Cardiff","New Zealand","bat","Bangladesh","New Zealand","50","6","265","8","6","26","51","268","5","20","27","49.4","2017","Shakib Al Hasan","Bangladesh"
"ODI","Edgbaston","Birmingham","India","field","Bangladesh","India","50","6","264","7","23","28","51.4","265","1","0","37","40.1","2017","RG Sharma","India"
"ODI","Shere Bangla National Stadium","Mirpur","England","bat","Bangladesh","England","50","6","309","8","6","34","50.2","288","10","16","32","49.4","2016/17","JT Ball","England"
"ODI","Shere Bangla National Stadium","Mirpur","England","field","Bangladesh","England","50","6","238","8","11","23","51.1","204","10","13","18","45.4","2016/17","Mashrafe Mortaza","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","England","field","Bangladesh","England","50","6","277","6","18","25","51.5","278","6","6","26","48.5","2016/17","AU Rashid","England"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","England","bat","Bangladesh","England","undefined","6","293","10","20","35","106.1","248","10","7","25","86.1","2016/17","BA Stokes","England"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","England","undefined","6","220","10","10","26","63.5","244","10","21","18","81.4","2016/17","Mehedi Hasan Miraz","Bangladesh"
"ODI","Malahide","Dublin","Ireland","field","Ireland","Bangladesh","50","6","157","4","18","19","33.3","0","0","0","0","0","2017","","no result"
"ODI","Clontarf Cricket Club Ground","Dublin","New Zealand","field","Bangladesh","New Zealand","50","6","257","9","12","25","51.3","258","6","14","24","47.5","2017","JDS Neesham","New Zealand"
"ODI","Malahide","Dublin","Bangladesh","field","Ireland","Bangladesh","50","6","181","10","13","13","47.5","182","2","10","23","28.2","2017","Mustafizur Rahman","Bangladesh"
"ODI","Clontarf Cricket Club Ground","Dublin","Bangladesh","field","Bangladesh","New Zealand","50","6","270","8","18","27","50.4","271","5","21","31","50.1","2017","Mushfiqur Rahim","Bangladesh"
"Test","Rajiv Gandhi International Stadium, Uppal","Hyderabad","India","bat","India","Bangladesh","undefined","6","687","6","8","76","166.3","388","10","15","58","127.5","2016/17","V Kohli","India"
"Test","Senwes Park","Potchefstroom","Bangladesh","field","South Africa","Bangladesh","undefined","6","496","3","6","56","146.2","320","10","11","50","89.2","2017/18","D Elgar","South Africa"
"Test","Mangaung Oval","Bloemfontein","Bangladesh","field","South Africa","Bangladesh","undefined","6","573","4","15","76","120.5","147","10","3","24","42.5","2017/18","K Rabada","South Africa"
"ODI","Diamond Oval","Kimberley","Bangladesh","bat","Bangladesh","South Africa","50","6","278","7","15","34","51.4","282","0","4","31","43.3","2017/18","Q de Kock","South Africa"
"ODI","Boland Park","Paarl","Bangladesh","field","South Africa","Bangladesh","50","6","353","6","9","28","51.1","249","10","13","24","49.2","2017/18","AB de Villiers","South Africa"
"ODI","Buffalo Park","East London","South Africa","bat","South Africa","Bangladesh","50","6","369","7","8","43","50.5","169","10","8","21","41.4","2017/18","F du Plessis","South Africa"
"T20","Mangaung Oval","Bloemfontein","South Africa","bat","South Africa","Bangladesh","20","6","195","4","10","20","20.5","175","9","14","21","21.1","2017/18","AB de Villiers","South Africa"
"T20","Senwes Park","Potchefstroom","Bangladesh","field","South Africa","Bangladesh","20","6","224","4","3","31","20.2","141","10","8","16","19.3","2017/18","DA Miller","South Africa"
"Test","Galle International Stadium","undefined","Sri Lanka","bat","Sri Lanka","Bangladesh","undefined","6","494","10","23","52","130.4","312","10","11","34","98.1","2016/17","BKG Mendis","Sri Lanka"
"Test","P Sara Oval","Colombo","Sri Lanka","bat","Sri Lanka","Bangladesh","undefined","6","338","10","22","30","114.1","467","10","14","48","134.3","2016/17","Tamim Iqbal","Bangladesh"
"ODI","Rangiri Dambulla International Stadium","undefined","Sri Lanka","field","Sri Lanka","Bangladesh","50","6","324","5","23","38","51.3","234","10","9","23","45.5","2016/17","Tamim Iqbal","Bangladesh"
"ODI","Rangiri Dambulla International Stadium","undefined","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","311","10","22","31","50.4","0","0","0","0","0","2016/17","","no result"
"ODI","Sinhalese Sports Club Ground","Colombo","Bangladesh","field","Sri Lanka","Bangladesh","50","6","280","9","19","27","52","210","10","16","22","46","2016/17","NLTC Perera","Sri Lanka"
"T20","R Premadasa Stadium","Colombo","Bangladesh","bat","Sri Lanka","Bangladesh","20","6","155","6","17","14","21.1","158","4","6","20","19.1","2016/17","MDKJ Perera","Sri Lanka"
"T20","R Premadasa Stadium","Colombo","Bangladesh","bat","Sri Lanka","Bangladesh","20","6","176","9","7","21","20.5","131","10","4","15","18.2","2016/17","Shakib Al Hasan","Bangladesh"
"Test","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Australia","undefined","6","260","10","21","32","79.2","217","10","23","22","75","2017","Shakib Al Hasan","Bangladesh"
"Test","Zahur Ahmed Chowdhury Stadium","Chattogram","Bangladesh","bat","Bangladesh","Australia","undefined","6","305","10","5","26","113.2","377","10","12","35","120","2017","NM Lyon","Australia"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","field","Zimbabwe","Bangladesh","50","6","170","10","16","11","50.1","171","2","17","20","30.4","2017/18","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","320","7","12","34","51.1","157","10","8","15","32.4","2017/18","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","216","9","15","19","51.3","125","10","8","14","37.1","2017/18","Tamim Iqbal","Bangladesh"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","82","10","14","7","25","83","0","9","9","12.4","2017/18","RAS Lakmal","Sri Lanka"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","221","10","9","19","50.4","142","9","11","11","42.1","2017/18","WU Tharanga","Sri Lanka"
"Test","Zahur Ahmed Chowdhury Stadium","Chattogram","Bangladesh","bat","Bangladesh","Sri Lanka","undefined","6","513","10","9","52","131.2","713","9","19","71","199.5","2017/18","Mominul Haque","draw"
"Test","Shere Bangla National Stadium, Mirpur","Dhaka","Sri Lanka","bat","Sri Lanka","Bangladesh","undefined","6","222","10","5","26","65.3","110","10","4","12","46","2017/18","ARS Silva","Sri Lanka"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Sri Lanka","20","6","193","5","21","21","22","194","4","15","31","18","2017/18","BKG Mendis","Sri Lanka"
"T20","Sylhet International Cricket Stadium","undefined","Bangladesh","field","Sri Lanka","Bangladesh","20","6","210","4","10","29","21.2","135","10","10","15","20.1","2017/18","BKG Mendis","Sri Lanka"
"T20","R.Premadasa Stadium, Khettarama","Colombo","India","field","Bangladesh","India","20","6","139","8","15","15","22.1","140","4","4","16","19","2017/18","V Shankar","India"
"T20","R.Premadasa Stadium, Khettarama","Colombo","Bangladesh","field","Sri Lanka","Bangladesh","20","6","214","6","17","27","21.2","215","5","9","28","20.4","2017/18","Mushfiqur Rahim","Bangladesh"
"T20","R.Premadasa Stadium, Khettarama","Colombo","Bangladesh","field","India","Bangladesh","20","6","176","3","3","23","20.2","159","6","7","21","21","2017/18","RG Sharma","India"
"T20","R.Premadasa Stadium, Khettarama","Colombo","Bangladesh","field","Sri Lanka","Bangladesh","20","6","159","7","9","17","20.5","160","8","9","16","20.4","2017/18","Mahmudullah","Bangladesh"
"T20","R.Premadasa Stadium, Khettarama","Colombo","India","field","Bangladesh","India","20","6","166","8","6","19","20.4","168","6","4","22","20.2","2017/18","KD Karthik","India"
"ODI","Kennington Oval","London","South Africa","field","Bangladesh","South Africa","50","6","330","6","21","40","51.2","309","8","14","26","51","2019","Shakib Al Hasan","Bangladesh"
"ODI","Kennington Oval","London","New Zealand","field","Bangladesh","New Zealand","50","6","244","10","18","22","50.5","248","8","10","27","48.5","2019","LRPL Taylor","New Zealand"
"ODI","Sophia Gardens","Cardiff","Bangladesh","field","England","Bangladesh","50","6","386","6","11","43","51.2","280","10","19","24","49.5","2019","JJ Roy","England"
"ODI","The Cooper Associates County Ground","Taunton","Bangladesh","field","Bangladesh","West Indies","50","6","321","8","22","31","52","322","3","26","38","43.4","2019","Shakib Al Hasan","Bangladesh"
"ODI","Trent Bridge","Nottingham","Australia","bat","Australia","Bangladesh","50","6","381","5","12","44","51","333","8","17","34","50.5","2019","DA Warner","Australia"
"ODI","Edgbaston","Birmingham","India","bat","Bangladesh","India","50","6","314","9","13","34","51.1","286","10","12","33","49.4","2019","RG Sharma","India"
"ODI","Lord's","London","Pakistan","bat","Bangladesh","Pakistan","50","6","315","9","16","32","51.2","221","10","11","22","45.1","2019","Shaheen Shah Afridi","Pakistan"
"Test","Sir Vivian Richards Stadium","North Sound","West Indies","field","Bangladesh","West Indies","undefined","6","43","10","0","3","18.4","406","10","15","43","138.1","2018","KAJ Roach","West Indies"
"Test","Sabina Park, Kingston","Jamaica","Bangladesh","field","West Indies","Bangladesh","undefined","6","354","10","27","35","112","149","10","13","22","47.3","2018","JO Holder","West Indies"
"ODI","Providence Stadium","Guyana","Bangladesh","bat","Bangladesh","West Indies","50","6","279","4","15","25","51.2","231","9","11","21","50.4","2018","Tamim Iqbal","Bangladesh"
"ODI","Providence Stadium","Guyana","Bangladesh","field","West Indies","Bangladesh","50","6","271","10","9","26","50","268","6","12","24","51.1","2018","SO Hetmyer","West Indies"
"ODI","Warner Park, Basseterre","St Kitts","Bangladesh","bat","Bangladesh","West Indies","50","6","301","6","13","30","52","283","6","11","28","51.1","2018","Tamim Iqbal","Bangladesh"
"T20","Warner Park, Basseterre","St Kitts","West Indies","field","Bangladesh","West Indies","20","6","143","9","12","17","21","93","3","8","13","9.3","2018","AD Russell","West Indies"
"T20","Central Broward Regional Park Stadium Turf Ground","Lauderhill","West Indies","field","Bangladesh","West Indies","20","6","171","5","4","23","20.2","159","9","10","19","21.3","2018","Tamim Iqbal","Bangladesh"
"T20","Central Broward Regional Park Stadium Turf Ground","Lauderhill","Bangladesh","bat","Bangladesh","West Indies","20","6","184","5","11","23","21.1","135","7","12","14","18","2018","Liton Das","Bangladesh"
"ODI","Dubai International Cricket Stadium","undefined","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","261","10","12","25","50.4","124","10","1","12","35.2","2018","Mushfiqur Rahim","Bangladesh"
"ODI","Dubai International Cricket Stadium","undefined","India","field","Bangladesh","India","50","6","173","10","3","15","49.3","174","3","4","17","36.5","2018","RA Jadeja","India"
"ODI","Sheikh Zayed Stadium","Abu Dhabi","Bangladesh","bat","Bangladesh","Pakistan","50","6","239","10","9","18","49","202","9","9","12","51","2018","Mushfiqur Rahim","Bangladesh"
"ODI","Dubai International Cricket Stadium","undefined","India","field","Bangladesh","India","50","6","222","10","7","21","49.2","223","7","13","19","50.5","2018","Liton Das","India"
"Test","Zahur Ahmed Chowdhury Stadium","Chattogram","Bangladesh","bat","Bangladesh","West Indies","undefined","6","324","10","12","32","93.2","246","10","15","23","64.2","2018/19","Mominul Haque","Bangladesh"
"Test","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","West Indies","undefined","6","508","10","15","38","154.5","111","10","7","9","36.4","2018/19","Mehedi Hasan Miraz","Bangladesh"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","West Indies","bat","Bangladesh","West Indies","50","6","195","9","5","13","50.2","196","5","21","19","37.4","2018/19","Mashrafe Mortaza","Bangladesh"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","West Indies","field","Bangladesh","West Indies","50","6","255","7","18","22","52.1","256","6","12","21","50.4","2018/19","SD Hope","West Indies"
"ODI","Sylhet International Cricket Stadium","Sylhet","Bangladesh","field","Bangladesh","West Indies","50","6","198","9","16","16","50.5","202","2","2","27","38.5","2018/19","Mehedi Hasan Miraz","Bangladesh"
"T20","Sylhet International Cricket Stadium","Sylhet","Bangladesh","bat","Bangladesh","West Indies","20","6","129","10","8","17","19.2","130","2","6","18","11","2018/19","SS Cottrell","West Indies"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","West Indies","field","Bangladesh","West Indies","20","6","211","4","18","28","22","175","10","14","21","20","2018/19","Shakib Al Hasan","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","field","Bangladesh","West Indies","20","6","190","10","8","26","20.3","140","10","15","18","18.5","2018/19","E Lewis","West Indies"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","271","8","17","28","52.1","243","9","14","25","51.2","2018/19","Imrul Kayes","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chattogram","Bangladesh","field","Zimbabwe","Bangladesh","50","6","246","7","9","23","50.1","250","3","13","26","46","2018/19","Mohammad Saifuddin","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chattogram","Bangladesh","field","Zimbabwe","Bangladesh","50","6","286","5","11","27","50.2","288","3","21","30","44.3","2018/19","Soumya Sarkar","Bangladesh"
"Test","Sylhet International Cricket Stadium","undefined","Zimbabwe","bat","Zimbabwe","Bangladesh","undefined","6","282","10","2","27","117.3","143","10","8","16","51","2018/19","SC Williams","Zimbabwe"
"Test","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Zimbabwe","undefined","6","522","7","21","48","160.4","304","9","6","36","105.3","2018/19","Mushfiqur Rahim","Bangladesh"
"ODI","McLean Park","Napier","Bangladesh","bat","New Zealand","Bangladesh","50","6","232","10","27","23","51","233","2","7","24","45.1","2018/19","MJ Guptill","New Zealand"
"ODI","Hagley Oval","Christchurch","New Zealand","field","New Zealand","Bangladesh","50","6","226","10","23","24","51.5","229","2","11","26","37.1","2018/19","MJ Guptill","New Zealand"
"ODI","University Oval","Dunedin","Bangladesh","field","New Zealand","Bangladesh","50","6","330","6","11","35","51.1","242","10","20","30","49.4","2018/19","TG Southee","New Zealand"
"Test","Seddon Park","Hamilton","New Zealand","field","New Zealand","Bangladesh","undefined","6","234","10","0","38","59.2","715","6","11","86","163.4","2018/19","KS Williamson","New Zealand"
"Test","Basin Reserve","Wellington","New Zealand","field","New Zealand","Bangladesh","undefined","6","211","10","14","29","61.3","432","6","13","49","85.3","2018/19","LRPL Taylor","New Zealand"
"ODI","Castle Avenue","Dublin","West Indies","bat","Bangladesh","West Indies","50","6","261","9","17","23","50.5","264","2","18","26","47","2019","SD Hope","Bangladesh"
"ODI","The Village, Malahide","Dublin","West Indies","bat","Bangladesh","West Indies","50","6","247","9","8","21","50.3","248","5","8","25","48.2","2019","Mustafizur Rahman","Bangladesh"
"ODI","Castle Avenue","Dublin","Ireland","bat","Ireland","Bangladesh","50","6","292","8","12","29","51","294","5","20","34","44.4","2019","Abu Jayed","Bangladesh"
"ODI","The Village, Malahide","Dublin","Bangladesh","field","Bangladesh","West Indies","50","6","152","1","6","16","24.4","213","5","5","28","23.4","2019","Mosaddek Hossain","Bangladesh"
"T20","Arun Jaitley Stadium","Delhi","Bangladesh","field","India","Bangladesh","20","6","148","6","4","18","20.1","154","3","7","18","20.1","2019/20","Mushfiqur Rahim","Bangladesh"
"T20","Saurashtra Cricket Association Stadium","Rajkot","India","field","India","Bangladesh","20","6","153","6","6","17","20.4","154","2","6","20","16.3","2019/20","RG Sharma","India"
"T20","Vidarbha Cricket Association Stadium, Jamtha","Nagpur","Bangladesh","field","India","Bangladesh","20","6","174","5","2","22","20.2","144","10","5","18","19.4","2019/20","DL Chahar","India"
"Test","Holkar Cricket Stadium","Indore","Bangladesh","bat","India","Bangladesh","undefined","6","150","10","4","19","58.4","493","6","7","69","115","2019/20","MA Agarwal","India"
"Test","Eden Gardens","Kolkata","Bangladesh","bat","India","Bangladesh","undefined","6","106","11","14","17","30.3","347","9","22","45","90.2","2019/20","I Sharma","India"
"ODI","R.Premadasa Stadium, Khettarama","Colombo","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","314","8","18","33","52","223","10","28","19","44.1","2019","MDKJ Perera","Sri Lanka"
"ODI","R.Premadasa Stadium, Khettarama","Colombo","Bangladesh","bat","Sri Lanka","Bangladesh","50","6","238","8","20","19","51.3","242","3","22","26","46.1","2019","WIA Fernando","Sri Lanka"
"ODI","R.Premadasa Stadium, Khettarama","Colombo","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","294","8","4","34","50.4","172","10","7","18","36.5","2019","AD Mathews","Sri Lanka"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","field","Bangladesh","Zimbabwe","20","6","144","5","6","19","18.4","148","7","7","17","18.3","2019","Afif Hossain","Bangladesh"
"T20","Zahur Ahmed Chowdhury Stadium","Chattogram","Zimbabwe","field","Bangladesh","Zimbabwe","20","6","175","7","7","19","20.4","136","10","5","14","20.3","2019","Mahmudullah","Bangladesh"
"T20","Gaddafi Stadium","Lahore","Bangladesh","bat","Pakistan","Bangladesh","20","6","141","5","7","16","20.4","142","5","4","15","20","2019/20","Shoaib Malik","Pakistan"
"T20","Gaddafi Stadium","Lahore","Bangladesh","bat","Pakistan","Bangladesh","20","6","136","6","8","15","20.5","137","1","4","18","17.1","2019/20","Babar Azam","Pakistan"
"Test","Rawalpindi Cricket Stadium","Rawalpindi","Pakistan","field","Pakistan","Bangladesh","undefined","6","233","10","10","34","83.3","445","10","7","55","123.2","2019/20","Naseem Shah","Pakistan"
"Test","Shere Bangla National Stadium, Mirpur","Dhaka","Zimbabwe","bat","Bangladesh","Zimbabwe","undefined","6","265","10","13","33","107.2","560","6","21","67","155.4","2019/20","Mushfiqur Rahim","Bangladesh"
"ODI","Sylhet International Cricket Stadium","Sylhet","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","321","7","6","33","50.5","152","10","4","17","39.4","2019/20","Liton Das","Bangladesh"
"ODI","Sylhet International Cricket Stadium","Sylhet","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","322","8","10","39","51","318","8","14","39","51.2","2019/20","Tamim Iqbal","Bangladesh"
"ODI","Sylhet International Cricket Stadium","Sylhet","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","322","3","8","38","44.1","218","10","7","24","38.3","2019/20","Liton Das","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Zimbabwe","field","Bangladesh","Zimbabwe","20","6","200","3","7","25","20.5","152","10","12","20","20.2","2019/20","Soumya Sarkar","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","field","Bangladesh","Zimbabwe","20","6","119","7","1","14","20","120","1","7","15","16.3","2019/20","Liton Das","Bangladesh"
"ODI","University Oval","Dunedin","New Zealand","field","Bangladesh","New Zealand","50","6","131","10","13","11","43.3","132","2","7","17","22","2020/21","TA Boult","New Zealand"
"ODI","Hagley Oval","Christchurch","New Zealand","field","Bangladesh","New Zealand","50","6","271","6","24","28","52.1","275","5","17","26","49.4","2020/21","TWM Latham","New Zealand"
"ODI","Basin Reserve","Wellington","New Zealand","bat","New Zealand","Bangladesh","50","6","318","6","16","34","50.5","154","10","12","16","43.5","2020/21","DP Conway","New Zealand"
"T20","Seddon Park","Hamilton","New Zealand","bat","New Zealand","Bangladesh","20","6","210","3","6","29","20.4","144","8","9","19","21","2020/21","DP Conway","New Zealand"
"T20","McLean Park","Napier","Bangladesh","field","New Zealand","Bangladesh","20","6","173","5","7","23","18.3","142","7","8","18","17","2020/21","GD Phillips","New Zealand"
"T20","Eden Park","Auckland","Bangladesh","field","New Zealand","Bangladesh","20","6","141","4","1","22","10.1","76","10","1","10","9.4","2020/21","FH Allen","New Zealand"
"ODI","Shere Bangla National Stadium","Dhaka","Bangladesh","field","West Indies","Bangladesh","50","6","122","10","4","13","32.3","125","4","19","12","35","2020/21","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium","Dhaka","West Indies","bat","West Indies","Bangladesh","50","6","148","10","7","12","44.4","149","3","8","14","34","2020/21","Mehedi Hasan Miraz","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chattogram","West Indies","field","Bangladesh","West Indies","50","6","297","6","22","23","52.5","177","10","13","13","46","2020/21","Mushfiqur Rahim","Bangladesh"
"Test","Zahur Ahmed Chowdhury Stadium","Chattogram","Bangladesh","bat","Bangladesh","West Indies","undefined","6","430","10","19","48","151.2","259","10","5","35","96.5","2020/21","KR Mayers","West Indies"
"Test","Shere Bangla National Stadium","Dhaka","West Indies","bat","West Indies","Bangladesh","undefined","6","409","10","8","49","142.4","296","10","16","35","98.4","2020/21","RRS Cornwall","West Indies"
"Test","Pallekele International Cricket Stadium","Pallekele","Bangladesh","bat","Sri Lanka","Bangladesh","undefined","6","541","7","32","57","174.5","648","8","27","72","180.5","2021","FDM Karunaratne","draw"
"Test","Pallekele International Cricket Stadium","Kandy","Sri Lanka","bat","Sri Lanka","Bangladesh","undefined","6","493","7","7","53","159.4","251","10","12","35","83.1","2021","P Jayawickrama","Sri Lanka"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","257","6","12","22","51.4","224","10","7","22","48.4","2021","Mushfiqur Rahim","Bangladesh"
"ODI","Sher-e-Bangla National Cricket Stadium","Mirpur","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","246","10","11","21","49.1","141","9","0","11","40","2021","Mushfiqur Rahim","Bangladesh"
"ODI","Shere Bangla National Stadium, Mirpur","Dhaka","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","286","6","17","25","51.2","189","10","11","10","43.2","2021","PVD Chameera","Sri Lanka"
"Test","Harare Sports Club","Harare","Bangladesh","bat","Bangladesh","Zimbabwe","undefined","6","468","10","39","61","129","276","10","5","34","111.5","2021","Mahmudullah","Bangladesh"
"ODI","Harare Sports Club","Harare","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","276","9","18","22","52.1","121","9","6","13","29.3","2021","Liton Das","Bangladesh"
"ODI","Harare Sports Club","Harare","Zimbabwe","bat","Zimbabwe","Bangladesh","50","6","240","9","15","21","51.1","242","7","23","20","51.4","2021","Shakib Al Hasan","Bangladesh"
"ODI","Harare Sports Club","Harare","Bangladesh","field","Zimbabwe","Bangladesh","50","6","298","10","20","32","51.1","302","5","27","27","50.1","2021","Tamim Iqbal","Bangladesh"
"T20","Harare Sports Club","Harare","Zimbabwe","bat","Zimbabwe","Bangladesh","20","6","152","10","4","16","19.1","153","2","9","15","20.1","2021","Soumya Sarkar","Bangladesh"
"T20","Harare Sports Club","Harare","Zimbabwe","bat","Zimbabwe","Bangladesh","20","6","166","6","10","17","21.1","143","10","13","16","20.3","2021","W Madhevere","Zimbabwe"
"T20","Harare Sports Club","Harare","Zimbabwe","bat","Zimbabwe","Bangladesh","20","6","193","5","9","24","20.1","194","5","18","24","20.4","2021","Soumya Sarkar","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Australia","field","Bangladesh","Australia","20","6","131","7","6","11","20.4","108","10","9","8","20.5","2021","Nasum Ahmed","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Australia","bat","Australia","Bangladesh","20","6","121","7","2","13","20.1","123","5","6","14","19.4","2021","Afif Hossain","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Australia","20","6","127","9","7","11","20.3","117","4","1","12","20.1","2021","Mahmudullah","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Australia","20","6","104","9","5","7","20.3","105","7","3","10","19.2","2021","MJ Swepson","Australia"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","Australia","20","6","122","8","18","9","21.1","62","10","1","3","13.4","2021","Shakib Al Hasan","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","New Zealand","bat","New Zealand","Bangladesh","20","6","60","10","2","3","16.5","62","3","5","5","15.5","2021","Shakib Al Hasan","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","Bangladesh","bat","Bangladesh","New Zealand","20","6","141","6","4","15","20.2","137","5","5","13","20.3","2021","Mahmudullah","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","New Zealand","bat","New Zealand","Bangladesh","20","6","128","5","2","14","20.2","76","10","4","6","20.1","2021","AY Patel","New Zealand"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","New Zealand","bat","New Zealand","Bangladesh","20","6","93","10","3","8","19.4","96","4","4","7","19.3","2021","Nasum Ahmed","Bangladesh"
"T20","Shere Bangla National Stadium, Mirpur","Dhaka","New Zealand","bat","New Zealand","Bangladesh","20","6","161","5","1","21","20","134","8","4","14","20.4","2021","TWM Latham","New Zealand"
"T20","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Bangladesh","field","Scotland","Bangladesh","20","6","140","9","9","15","20.5","134","7","5","12","20.3","2021/22","CN Greaves","Scotland"
"T20","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Bangladesh","bat","Bangladesh","Oman","20","6","153","10","11","16","20.4","127","9","12","13","21.3","2021/22","Shakib Al Hasan","Bangladesh"
"T20","Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)","Al Amarat","Bangladesh","bat","Bangladesh","Papua New Guinea","20","6","181","7","9","17","21.2","97","10","5","7","20.1","2021/22","Shakib Al Hasan","Bangladesh"
"T20","Sharjah Cricket Stadium","Sharjah","Sri Lanka","field","Bangladesh","Sri Lanka","20","6","171","4","9","20","20.4","172","5","7","19","20","2021/22","KIC Asalanka","Sri Lanka"
