match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","Shere Bangla National Stadium","Mirpur","New Zealand","field","Bangladesh","New Zealand","50","6","241","10","9","26","49.2","232","10","7","14","50","2010/11","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","New Zealand","50","6","174","10","17","15","45.5","171","10","20","13","50.5","2010/11","Rubel Hossain","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Zimbabwe","50","6","209","10","16","19","50","200","10","10","21","49.4","2010/11","CB Mpofu","Zimbabwe"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Zimbabwe","50","6","191","10","8","18","47.1","194","4","6","23","40.3","2010/11","Abdur Razzak","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","246","7","22","23","51.3","181","10","24","16","50.2","2010/11","Abdur Razzak","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Zimbabwe","bat","Bangladesh","Zimbabwe","50","6","188","6","14","9","51","189","4","19","13","43.5","2010/11","Tamim Iqbal","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Australia","50","6","270","7","8","26","51","210","5","14","15","51.2","2011","MJ Clarke","Australia"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Australia","50","6","229","7","10","24","50.5","232","1","2","34","26.2","2011","SR Watson","Australia"
"ODI","Shere Bangla National Stadium","Mirpur","Australia","bat","Bangladesh","Australia","50","6","361","8","8","46","50.5","295","6","16","31","50.5","2011","MEK Hussey","Australia"
"Test","Harare Sports Club","undefined","Bangladesh","field","Zimbabwe","Bangladesh","undefined","6","370","10","18","38","131.3","287","10","5","36","97","2011","BRM Taylor","Zimbabwe"
"ODI","Harare Sports Club","undefined","Zimbabwe","field","Zimbabwe","Bangladesh","50","6","184","10","7","12","49.2","186","6","9","16","42","2011","BV Vitori","Zimbabwe"
"ODI","Harare Sports Club","undefined","Zimbabwe","field","Zimbabwe","Bangladesh","50","6","188","10","15","14","48.1","191","3","14","19","45.5","2011","BV Vitori","Zimbabwe"
"ODI","Harare Sports Club","undefined","Bangladesh","field","Zimbabwe","Bangladesh","50","6","250","7","6","24","50.3","245","10","6","21","49.4","2011","Mushfiqur Rahim","Zimbabwe"
"ODI","Queens Sports Club","Bulawayo","Bangladesh","field","Zimbabwe","Bangladesh","50","6","199","10","14","17","49.4","203","4","10","28","38","2011","Rubel Hossain","Bangladesh"
"ODI","Queens Sports Club","Bulawayo","Zimbabwe","field","Zimbabwe","Bangladesh","50","6","253","6","14","22","51.1","160","9","5","17","39","2011","Shakib Al Hasan","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","West Indies","20","6","132","8","10","13","20.4","135","7","6","13","20.4","2011/12","Mushfiqur Rahim","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","West Indies","50","6","298","5","10","29","50.4","258","7","16","19","51.3","2011/12","LMP Simmons","West Indies"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","West Indies","50","6","220","10","9","20","49.4","221","2","13","25","43.5","2011/12","MN Samuels","West Indies"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","West Indies","50","6","61","10","8","5","22.2","62","2","5","5","20","2011/12","Shakib Al Hasan","Bangladesh"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","bat","Bangladesh","West Indies","undefined","6","350","9","23","36","123.4","244","10","16","31","69.1","2011/12","Elias Sunny","draw"
"Test","Shere Bangla National Stadium","Mirpur","West Indies","bat","Bangladesh","West Indies","undefined","6","355","10","10","43","127.2","231","10","0","29","68","2011/12","KA Edwards","West Indies"
"T20","Pallekele International Cricket Stadium","undefined","Bangladesh","field","Bangladesh","New Zealand","20","6","191","3","8","24","20.2","132","8","7","16","20.4","2012/13","BB McCullum","New Zealand"
"T20","Pallekele International Cricket Stadium","undefined","Bangladesh","bat","Bangladesh","Pakistan","20","6","175","6","11","25","20.5","178","2","10","26","19.1","2012/13","Imran Nazir","Pakistan"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Pakistan","50","6","262","8","8","23","50.5","241","10","7","23","48.5","2011/12","Mohammad Hafeez","Pakistan"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","India","50","6","289","5","18","28","52","293","5","12","30","50.1","2011/12","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Sri Lanka","50","6","232","10","11","20","51.1","212","5","20","23","38.2","2011/12","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Pakistan","50","6","236","9","18","22","51.1","234","8","11","21","51","2011/12","Shahid Afridi","Pakistan"
